"subject_id","new_key","nhdid","filename","filename_2","county","lakename","LONG_DD","LAT_DD","lake_area_ha","max_depth_m","mean_depth_m","url_1","url_2"
72990190,"75-432",44364856,"SCHOOLCRAFT_BYERS_MNGM_0003_1.jpeg","SCHOOLCRAFT_BYERS_MNGM_0003_2.jpeg","SCHOOLCRAFT","BYERS ",-86.48538,46.20888,64.28,4.57,2.07,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BYERS_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_BYERS_MNGM_0003_2.jpeg"
72990193,"75-1065",44362012,"SCHOOLCRAFT_CANOE_MNGM_0003_1.jpeg","SCHOOLCRAFT_CANOE_MNGM_0003_2.jpeg","SCHOOLCRAFT","CANOE ",-86.29232,46.46165,14.13,3.35,1.49,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CANOE_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CANOE_MNGM_0003_2.jpeg"
72990194,"75-922",44361448,"SCHOOLCRAFT_CARPENTER_MNGM_0003_1.jpeg","SCHOOLCRAFT_CARPENTER_MNGM_0003_2.jpeg","SCHOOLCRAFT","CARPENTER ",-85.98204,46.49693,19.12,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CARPENTER_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CARPENTER_MNGM_0003_2.jpeg"
72990195,"75-488",44364774,"SCHOOLCRAFT_CENTER_MNGM_0002_1.jpeg","SCHOOLCRAFT_CENTER_MNGM_0002_2.jpeg","SCHOOLCRAFT","CENTER ",-86.52065,46.22193,3,1.83,1.08,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CENTER_MNGM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CENTER_MNGM_0002_2.jpeg"
72990196,"75-421",44364252,"SCHOOLCRAFT_CLEAR_MNGM_0003_1.jpeg","SCHOOLCRAFT_CLEAR_MNGM_0003_2.jpeg","SCHOOLCRAFT","CLEAR ",-86.42149,46.24776,43.48,15.85,6.89,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CLEAR_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CLEAR_MNGM_0003_2.jpeg"
72990197,"75-460",44364620,"SCHOOLCRAFT_COATTAIL_MNGM_0002_1.jpeg","SCHOOLCRAFT_COATTAIL_MNGM_0002_2.jpeg","SCHOOLCRAFT","COATTAIL ",-86.5301,46.22999,18.94,7.93,3.33,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_COATTAIL_MNGM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_COATTAIL_MNGM_0002_2.jpeg"
72990198,"75-423",44364574,"SCHOOLCRAFT_COLWELL_MNGM_0004_1.jpeg","SCHOOLCRAFT_COLWELL_MNGM_0004_2.jpeg","SCHOOLCRAFT","COLWELL ",-86.44232,46.22388,51.95,7.93,4.1,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_COLWELL_MNGM_0004_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_COLWELL_MNGM_0004_2.jpeg"
72990199,"75-522",44365178,"SCHOOLCRAFT_COOKSON_MNGM_0002_1.jpeg","SCHOOLCRAFT_COOKSON_MNGM_0002_2.jpeg","SCHOOLCRAFT","COOKSON ",-86.56149,46.19832,21.64,10.98,2.73,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_COOKSON_MNGM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_COOKSON_MNGM_0002_2.jpeg"
72990200,"75-544",44365716,"SCHOOLCRAFT_CORNER_MNGM_0002_1.jpeg","SCHOOLCRAFT_CORNER_MNGM_0002_2.jpeg","SCHOOLCRAFT","CORNER ",-86.60675,46.16008,191.54,12.2,5.56,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CORNER_MNGM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CORNER_MNGM_0002_2.jpeg"
72990201,"75-1025",44362038,"SCHOOLCRAFT_CRANBERRY_MNGM_0003_1.jpeg","SCHOOLCRAFT_CRANBERRY_MNGM_0003_2.jpeg","SCHOOLCRAFT","CRANBERRY ",-86.18343,46.45138,5.11,14.33,5.36,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CRANBERRY_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CRANBERRY_MNGM_0003_2.jpeg"
